Word,Length,Freq_HAL,Log_Freq_HAL
aerates,7,20,2.996
aeration,8,204,5.318
aerator,7,58,4.06
aerial,6,2841,7.952
aerials,7,63,4.143
aerobatic,9,185,5.22
aerobic,7,1375,7.226
aerodynamic,11,503,6.221
aeronaut,8,1,0
aeronautical,12,557,6.323
aeronautics,11,712,6.568
aeroplane,9,218,5.384
aerosol,7,421,6.043
aerosolized,11,36,3.584
aerosols,8,274,5.613
aerospace,9,3557,8.177
Aeschylus,9,80,4.382
aesthetic,9,1575,7.362
aesthetics,10,954,6.861
afar,4,446,6.1
affable,7,81,4.394
affair,6,5294,8.574
affairs,7,12423,9.427
affect,6,18690,9.836
affectation,11,102,4.625
affected,8,12344,9.421
affecting,9,3851,8.256
affectingly,11,0,0
affection,9,1910,7.555
affectionate,12,1171,7.066
affectionately,14,258,5.553
affections,10,321,5.771
affects,7,6036,8.705
afferent,8,77,4.344
affianced,9,17,2.833
affidavit,9,743,6.611
affidavits,10,366,5.903
affiliate,9,2464,7.81
affiliated,10,4536,8.42
affiliates,10,1793,7.492
affiliation,11,3018,8.012
affiliations,12,1047,6.954
affinities,10,90,4.5
affinity,8,1254,7.134
affirm,6,671,6.509
affirmation,11,868,6.766
affirmations,12,456,6.122
affirmative,11,6289,8.747
affirmatively,13,120,4.787
affirmed,8,880,6.78
affirming,9,339,5.826
affirms,7,338,5.823
affix,5,179,5.187
affixed,7,281,5.638
afflict,7,120,4.787
afflicted,9,731,6.594
affliction,10,392,5.971
afflictions,11,151,5.017
affluence,9,188,5.236
affluent,8,648,6.474
afford,6,18642,9.833
afforded,8,840,6.733
affording,9,141,4.949
affords,7,395,5.979
affricate,9,5,1.609
affront,7,340,5.829
affronted,9,37,3.611
affronting,10,4,1.386
Afghan,6,1397,7.242
Afghanistan,11,1771,7.479
Afghans,7,274,5.613
aficionado,10,153,5.03
afield,6,296,5.69
afire,5,163,5.094
aflame,6,81,4.394
afloat,6,415,6.028
afoot,5,435,6.075
aforementioned,14,2971,7.997
aforesaid,9,181,5.198
aforethought,12,62,4.127
afoul,5,208,5.338
afraid,6,23303,10.056
Africa,6,17142,9.749
African,7,11473,9.348
Africans,8,1565,7.356
afro,4,293,5.68
aft,3,934,6.839
after,5,414103,12.934
afterbirth,10,57,4.043
aftercare,9,111,4.71
aftereffect,11,36,3.584
afterglow,9,180,5.193
afterlife,9,729,6.592
aftermath,9,1044,6.951
afternoon,9,10525,9.262
afternoons,10,820,6.709
afternoon's,11,85,4.443
aftershave,10,47,3.85
aftertaste,10,144,4.97
afterthought,12,413,6.023
afterward,9,1813,7.503
afterwards,10,7471,8.919
again,5,249680,12.428
against,7,172615,12.059
Agamemnon,9,170,5.136
Agamemnon's,11,16,2.773
agape,5,244,5.497
agar,4,804,6.69
Agatha,6,230,5.438
age,3,66835,11.11
aged,4,3437,8.142
ageless,7,177,5.176
agencies,8,13501,9.511
agency,6,22870,10.038
agenda,6,9832,9.193
agent,5,22078,10.002
agents,6,14778,9.601
agent's,7,890,6.791
ages,4,17369,9.762
Aggie,5,520,6.254
Aggies,6,302,5.71
agglomerate,11,12,2.485
agglomeration,13,62,4.127
agglutinating,13,25,3.219
agglutination,13,5,1.609
aggrandize,10,27,3.296
aggravate,9,321,5.771
aggravated,10,793,6.676
aggravates,10,52,3.951
aggravation,11,353,5.866
aggregate,9,1265,7.143
aggregation,11,316,5.756
aggregations,12,77,4.344
aggression,10,3010,8.01
aggressions,11,92,4.522
aggressive,10,6889,8.838
aggressively,12,1289,7.162
aggressiveness,14,371,5.916
aggressor,9,634,6.452
aggrieve,8,0,0
aggrieved,9,158,5.063
aghast,6,216,5.375
agile,5,631,6.447
agilely,7,5,1.609
agility,7,1228,7.113
aging,5,2956,7.992
agitate,7,181,5.198
agitated,8,523,6.26
agitating,9,122,4.804
agitation,9,806,6.692
agitator,8,214,5.366
agitators,9,78,4.357
agleam,6,0,0
aglow,5,54,3.989
Agnes,5,629,6.444
agnostic,8,1021,6.929
agnostics,9,257,5.549
ago,3,116095,11.662
agonies,7,113,4.727
agonize,7,78,4.357
agonized,8,144,4.97
agonizes,8,26,3.258
agonizing,9,463,6.138
agony,5,2245,7.716
agoraphobia,11,29,3.367
agrarian,8,397,5.984
agree,5,103383,11.546
agreeable,9,656,6.486
agreeableness,13,4,1.386
agreeably,9,52,3.951
agreed,6,21890,9.994
agreeing,8,2270,7.728
agreement,9,23528,10.066
agreements,10,4919,8.501
agrees,6,5544,8.62
agricultural,12,5049,8.527
agriculturalist,15,9,2.197
agriculturally,14,39,3.664
agriculture,11,5462,8.606
agriculture's,13,26,3.258
agriculturist,13,1,0
Agrippa,7,95,4.554
agronomy,8,178,5.182
aground,7,152,5.024
ah,2,22390,10.016
ahead,5,25862,10.161
ahem,4,1977,7.589
ahoy,4,192,5.257
aid,3,18556,9.829
aide,4,1575,7.362
aided,5,1647,7.407
aides,5,671,6.509
aiding,6,761,6.635
aids,4,22058,10.001
ail,3,233,5.451
ailerons,8,156,5.05
ailing,6,286,5.656
ailment,7,287,5.659
ailments,8,575,6.354
aim,3,7900,8.975
aimed,5,7151,8.875
aiming,6,1938,7.569
aimless,7,148,4.997
aimlessly,9,249,5.517
aims,4,2831,7.948
ain't,5,20992,9.952
air,3,81115,11.304
airbase,7,130,4.868
airbed,6,0,0
airbladder,10,0,0
airborne,8,2129,7.663
airbrake,8,22,3.091
airbus,6,575,6.354
aircraft,8,17225,9.754
aircraft's,10,140,4.942
aircrew,7,126,4.836
aircushion,10,0,0
airdrop,7,25,3.219
airdrops,8,28,3.332
aired,5,3088,8.035
airfield,8,498,6.211
airfields,9,201,5.303
airflow,7,417,6.033
airforce,8,376,5.93
airframe,8,440,6.087
airily,6,16,2.773
airless,7,420,6.04
airlift,7,196,5.278
airline,7,5136,8.544
airliner,8,341,5.832
airlines,8,6265,8.743
airlock,7,560,6.328
airmail,7,748,6.617
airman's,8,30,3.401
airmen,6,207,5.333
airpark,7,82,4.407
airplane,8,4709,8.457
airplanes,9,1699,7.438
airport,7,11859,9.381
airports,8,1688,7.431
airs,4,1597,7.376
airshaft,8,3,1.099
airship,7,448,6.105
airsick,7,18,2.89
airspace,8,744,6.612
airspeed,8,601,6.399
airstrip,8,173,5.153
airstrips,9,47,3.85
airtight,8,366,5.903
airway,6,256,5.545
airways,7,913,6.817
airy,4,362,5.892
aisle,5,1388,7.236
ajar,4,149,5.004
akin,4,2436,7.798
Akron,5,3129,8.048
Al,2,70783,11.167
Alabama,7,5243,8.565
Alabamans,9,6,1.792
alabaster,9,1704,7.441
Alamo,5,1525,7.33
Alamogordo,10,86,4.454
Alan,4,33178,10.41
alarm,5,5599,8.63
alarmed,7,945,6.851
alarming,8,1058,6.964
alarmingly,10,126,4.836
alarmist,8,169,5.13
alarms,6,1466,7.29
alas,4,4353,8.379
Alaska,6,6248,8.74
albacore,8,54,3.989
Albania,7,1749,7.467
Albanian,8,2802,7.938
Albanians,9,1808,7.5
Albany,6,3284,8.097
albatross,9,535,6.282
albeit,6,3958,8.283
Albert,6,10552,9.264
albino,6,860,6.757
album,5,39796,10.592
albumin,7,1082,6.987
albums,6,11973,9.39
alchemist,9,525,6.263
alchemy,7,1069,6.974
alcohol,7,14209,9.562
alcoholic,9,1824,7.509
alcoholics,10,993,6.901
alcoholism,10,1023,6.93
alcohols,8,139,4.934
alcove,6,264,5.576
alcoves,7,58,4.06
alderman,8,176,5.17
aldermen,8,11,2.398
ale,3,4919,8.501
alehouse,8,9,2.197
alert,5,8982,9.103
alerted,7,637,6.457
alerting,8,332,5.805
alertly,7,13,2.565
alertness,9,217,5.38
alerts,6,1097,7
Alex,4,18548,9.828
Alexander,9,15618,9.656
Alexander's,11,423,6.047
Alexandria,10,4994,8.516
Alexei,6,933,6.838
Alexis,6,1464,7.289
Alex's,6,567,6.34
alfalfa,7,448,6.105
Alfonso,7,725,6.586
Alfred,6,3504,8.162
alfredo,7,823,6.713
Alfred's,8,38,3.638
alga,4,66,4.19
algae,5,2276,7.73
algaecide,9,3,1.099
algebra,7,2526,7.834
algebraic,9,936,6.842
algebraically,13,72,4.277
Algeria,7,1251,7.132
Algerian,8,500,6.215
Algerians,9,84,4.431
algorithm,9,10946,9.301
alias,5,22466,10.02
alibi,5,333,5.808
alibis,6,63,4.143
Alice,5,5711,8.65
Alicia,6,1099,7.002
alien,5,21215,9.962
alienable,9,4,1.386
alienate,8,565,6.337
alienated,9,635,6.454
alienates,9,93,4.533
alienation,10,462,6.136
aliens,6,11773,9.374
alight,6,112,4.718
align,5,1452,7.281
aligned,7,1769,7.478
aligning,8,335,5.814
alignment,9,4132,8.327
alignments,10,464,6.14
alike,5,5595,8.63
aliment,7,8,2.079
alimony,7,311,5.74
alive,5,19998,9.903
alkali,6,107,4.673
alkaline,8,757,6.629
alkalis,7,6,1.792
all,3,1699638,14.346
Allah,5,8033,8.991
Allan,5,4935,8.504
allay,5,142,4.956
allegation,10,1011,6.919
allegations,11,4126,8.325
allege,6,516,6.246
alleged,7,7788,8.96
allegedly,9,4412,8.392
allegiance,10,1343,7.203
allegiances,11,64,4.159
alleging,8,476,6.165
allegoric,9,4,1.386
allegorical,11,237,5.468
allegory,8,505,6.225
allegretto,10,26,3.258
allegro,7,660,6.492
Alleluia,8,66,4.19
Allen,5,14718,9.597
Allen's,7,342,5.835
allergen,8,115,4.745
allergic,8,1965,7.583
allergies,9,1840,7.518
allergy,7,2765,7.925
alleviate,9,1410,7.251
alleviating,11,206,5.328
alleviation,11,95,4.554
alley,5,3011,8.01
alleys,6,238,5.472
alleyway,8,88,4.477
alleyways,9,63,4.143
alliance,8,9893,9.2
alliances,9,1387,7.235
alliance's,10,110,4.7
allied,6,3392,8.129
allies,6,4984,8.514
alligator,9,723,6.583
alligatored,11,1,0
Allison,7,3144,8.053
Allison's,9,156,5.05
alliterate,10,10,2.303
alliteration,12,109,4.691
alliterative,12,69,4.234
allocable,9,0,0
allocate,8,3320,8.108
allocated,9,17925,9.794
allocation,10,4216,8.347
allocations,11,700,6.551
allopathic,10,119,4.779
allopathy,9,55,4.007
allot,5,479,6.172
alloted,7,173,5.153
allotment,9,328,5.793
allotments,10,58,4.06
allotted,8,472,6.157
allotting,9,162,5.088
allow,5,76957,11.251
allowable,9,938,6.844
allowance,9,1448,7.278
allowances,10,600,6.397
allowed,7,44517,10.704
allowing,8,16704,9.723
allows,6,43222,10.674
alloy,5,1454,7.282
alloys,6,794,6.677
allspice,8,107,4.673
alluded,7,700,6.551
alludes,7,261,5.565
alluding,8,307,5.727
allure,6,247,5.509
allurement,10,0,0
alluring,8,175,5.165
allusion,8,408,6.011
allusions,9,378,5.935
allusive,8,11,2.398
allusiveness,12,0,0
ally,4,2857,7.958
almanac,7,1374,7.225
Almighty,8,1923,7.562
almond,6,645,6.469
almonds,7,452,6.114
almost,6,111601,11.623
alms,4,134,4.898
aloe,4,304,5.717
aloes,5,11,2.398
aloft,5,282,5.642
alone,5,51000,10.84
aloneness,9,22,3.091
along,5,92602,11.436
alongside,9,2364,7.768
aloof,5,368,5.908
aloofness,9,84,4.431
aloud,5,1270,7.147
Alp,3,513,6.24
alpha,5,36445,10.504
alphabet,8,2867,7.961
alphabetic,10,787,6.668
alphabetical,12,1748,7.466
alphabetized,12,190,5.247
Alpine,6,2682,7.894
Alps,4,805,6.691
already,7,146289,11.893
alright,7,6035,8.705
Al's,4,941,6.847
also,4,782967,13.571
altar,5,3404,8.133
altarpiece,10,4,1.386
alter,5,7920,8.977
alteration,10,2475,7.814
alterations,11,1111,7.013
altercate,9,1,0
altercation,11,147,4.99
altered,7,5171,8.551
altering,8,1830,7.512
alterman,8,40,3.689
alternate,9,10657,9.274
alternated,10,190,5.247
alternately,11,1701,7.439
alternating,11,1312,7.179
alternation,11,131,4.875
alternative,11,30931,10.34
alternatively,13,5188,8.554
alternatives,12,8629,9.063
alternator,10,873,6.772
alters,6,983,6.891
although,8,109965,11.608
altitude,8,3730,8.224
alto,4,5834,8.671
altogether,10,5416,8.597
altruism,8,542,6.295
altruist,8,50,3.912
altruistically,14,18,2.89
alum,4,506,6.227
aluminium,9,978,6.886
aluminum,8,6380,8.761
alumnae,7,48,3.871
alumni,6,2572,7.852
alveolar,8,45,3.807
alveoli,7,14,2.639
alveolus,8,1,0
always,6,200870,12.21
am,2,547593,13.213
amalgamate,10,26,3.258
amalgamated,11,125,4.828
amalgamation,12,103,4.635
amass,5,272,5.606
amassing,8,98,4.585
amateur,7,12735,9.452
